date,level
2019-01-01,489.153
2019-02-01,398.476
2019-03-01,535.684
2019-04-01,500.145
2019-05-01,520.403
2019-06-01,649.026
2019-07-01,564.571
2019-08-01,589.774
2019-09-01,922.934
2019-10-01,662.668
2019-11-01,490.612
2019-12-01,812.098
2020-01-01,506.028
2020-02-01,449.062
2020-03-01,536.199
2020-04-01,259.873
2020-05-01,284.691
2020-06-01,443.783
2020-07-01,421.554
2020-08-01,505.209
2020-09-01,770.802
2020-10-01,567.044
2020-11-01,366.576
2020-12-01,64.402
2021-01-01,331.186
2021-02-01,314.689
2021-03-01,379.924
2021-04-01,355.183
2021-05-01,442.167
2021-06-01,602.783
2021-07-01,556.169
2021-08-01,568.711
2021-09-01,901.327
