date,level
2019-01-01,0
2019-02-01,-18.54
2019-03-01,34.43
2019-04-01,-6.63
2019-05-01,4.05
2019-06-01,24.72
2019-07-01,-13.01
2019-08-01,4.46
2019-09-01,56.49
2019-10-01,-28.20
2019-11-01,-25.96
2019-12-01,65.53
2020-01-01,-37.69
2020-02-01,-11.26
2020-03-01,19.40
2020-04-01,-51.53
2020-05-01,9.55
2020-06-01,55.88
2020-07-01,-5.01
2020-08-01,19.84
2020-09-01,52.57
2020-10-01,-26.43
2020-11-01,-35.35
2020-12-01,-82.43
2021-01-01,414.25
2021-02-01,-4.98
2021-03-01,20.73
2021-04-01,-6.51
2021-05-01,24.49
2021-06-01,36.32
2021-07-01,-7.73
2021-08-01,2.26
2021-09-01,58.49
