date,level
2019-01-01,10.5
2019-02-01,10.5
2019-03-01,10.1
2019-04-01,10.4
2019-05-01,10.1
2019-06-01,9.7
2019-07-01,9.7
2019-08-01,9.6
2019-09-01,9.8
2019-10-01,9.7
2019-11-01,10.0
2019-12-01,9.9
2020-01-01,9.7
2020-02-01,9.7
2020-03-01,7.3
2020-04-01,7.4
2020-05-01,8.5
2020-06-01,9.5
2020-07-01,10.1
2020-08-01,10.0
2020-09-01,10.1
2020-10-01,10.0
2020-11-01,9.6
2020-12-01,9.8
2021-01-01,10.2
2021-02-01,10.1
2021-03-01,10.0
2021-04-01,10.1
2021-05-01,9.9
2021-06-01,9.4
2021-07-01,9.2
2021-08-01,9.3
2021-09-01,9.2

