date,level
2019-01-01,3521
2019-02-01,3543
2019-03-01,3524
2019-04-01,3494
2019-05-01,3487
2019-06-01,3527
2019-07-01,3627
2019-08-01,3591
2019-09-01,3449
2019-10-01,3414
2019-11-01,3482
2019-12-01,3487
2020-01-01,3568
2020-02-01,3430
2020-03-01,2902
2020-04-01,2107
2020-05-01,2206
2020-06-01,2646
2020-07-01,3182
2020-08-01,2987
2020-09-01,3307
2020-10-01,3352
2020-11-01,3296
2020-12-01,3407
2021-01-01,3306
2021-02-01,3383
2021-03-01,3568
2021-04-01,3992
2021-05-01,3630
2021-06-01,3870
2021-07-01,4028
2021-08-01,4270
2021-09-01,4362
2021-10-01,4157
2021-11-01,4527
