code,state,category,total quits level,text
AL,Alabama,state,325,Alabama<br> Quits: 325
AK,Alaska,state,52,Alaska<br> Quits: 52
AZ,Arizona,state,440,Arizona<br> Quits: 440
AR,Arkansas,state,206,Arkansas<br> Quits: 206
CA, California, state,1889, California<br> Quits: 1889
CO,Colorado,state,473,Colorado<br> Quits: 473
CT,Connecticut,state,192,Connecticut<br> Quits: 192
DE,Delaware,state,72,Delaware<br> Quits: 72
FL,Florida,state,75,Florida<br> Quits: 75
GA,Georgia,state,1347,Georgia<br> Quits: 1347
HI,Hawaii,state,869,Hawaii<br> Quits: 869
ID,Idaho,state,101,Idaho<br> Quits: 101
IL,Illinois,state,136,Illinois<br> Quits: 136
IN,Indiana,state,853,Indiana<br> Quits: 853
IA,Iowa,state,512,Iowa<br> Quits: 512
KS,Kansas,state,205,Kansas<br> Quits: 205
KY,Kentucky,state,195,Kentucky<br> Quits: 195
LA,Louisiana,state,341,Louisiana<br> Quits: 341
ME,Maine,state,313,Maine<br> Quits: 313
MD,Maryland,state,93,Maryland<br> Quits: 93
MA,Massachusetts,state,320,Massachusetts<br> Quits: 320
MI,Michigan,state,412,Michigan<br> Quits: 412
MN,Minnesota,state,623,Minnesota<br> Quits: 623
MS,Mississippi,state,340,Mississippi<br> Quits: 340
MO,Missouri,state,199,Missouri<br> Quits: 199
MT,Montana,state,424,Montana<br> Quits: 424
NE,Nebraska,state,88,Nebraska<br> Quits: 88
NV,Nevada,state,147,Nevada<br> Quits: 147
NH,New Hampshire,state,235,New Hampshire<br> Quits: 235
NJ,New Jersey,state,106,New Jersey<br> Quits: 106
NM,New Mexico,state,488,New Mexico<br> Quits: 488
NY,New York,state,113,New York<br> Quits: 113
NC,North Carolina,state,894,North Carolina<br> Quits: 894
ND,North Dakota,state,780,North Dakota<br> Quits: 780
OH,Ohio,state,68,Ohio<br> Quits: 68
OK,Oklahoma,state,725,Oklahoma<br> Quits: 725
OR,Oregon,state,255,Oregon<br> Quits: 255
PA,Pennsylvania,state,278,Pennsylvania<br> Quits: 278
RI,Rhode Island,state,679,Rhode Island<br> Quits: 679
SC,South Carolina,state,68,South Carolina<br> Quits: 68
SD,South Dakota,state,362,South Dakota<br> Quits: 362
TN,Tennessee,state,62,Tennessee<br> Quits: 62
TX,Texas,state,494,Texas<br> Quits: 494
UT,Utah,state,1974,Utah<br> Quits: 1974
VT,Vermont,state,239,Vermont<br> Quits: 239
VA,Virginia,state,49,Virginia<br> Quits: 49
WA,Washington,state,530,Washington<br> Quits: 530
WV,West Virginia,state,397,West Virginia<br> Quits: 397
WI,Wisconsin,state,115,Wisconsin<br> Quits: 115
WY,Wyoming,state,416,Wyoming<br> Quits: 416
